MARQUES;MODELE;TYP. MINES;CNIT;CARB;CV;PUISS.;BV;Urbain;Ex.Urb;Mixte;CO2;;;;;
VOLKSWAGEN;GOLF PACK TDI (110ch);MVW54C2K1870;1JSCASVX01SGFM52J024M41N10GE;GO;6;81.0;M 5;6.6;4.1;5.0;135;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C1KB751;1JSCALHX01SGFM52J025M21N10GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C1KA750;1JSCALHX01SGFM52J025M21NN0GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C2KF753;1JSCALHX01SGFM52J025M41N10GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
VOLKSWAGEN;GOLF PACK TDI (90ch);MVW52C2KE752;1JSCALHX01SGFM52J025M41NN0GE;GO;5;66.0;M 5;6.6;4.2;5.0;135;;;;;
FORD;FIESTA 3P 1.8TDdi;MFD5161C2677;JBSRTN15A01;GO;5;55.0;M 5;6.5;4.2;5.0;136;;;;;
FORD;FIESTA 5P 1.8TDdi;MFD5162CM720;JASRTN15A01;GO;5;55.0;M 5;6.5;4.2;5.0;136;;;;;
FORD;FOCUS 4P 1.8TDdi;MFD5172S2974;DFWBHDA15HDDMS;GO;5;55.0;M 5;6.8;4.2;5.2;136;;;;;
MAZDA;1215P 1.8DiTD;MJZ5112BJ279;JASMRTN15A01;GO;5;55.0;M 5;6.5;4.2;5.0;136;;;;;
PEUGEOT;2063P 2.0HDi;MPE5201K1546;2CRHYF;GO;5;66.0;M 5;6.6;4.1;5.0;136;;;;;
PEUGEOT;2065P 2.0HDi;MPE5202K2545;2ARHYF;GO;5;66.0;M 5;6.6;4.1;5.0;136;;;;;
FORD;FOCUS 5P 1.8TDdi;MFD5172SZ001;DAWBHDA15HDDMR;GO;5;55.0;M 5;6.8;4.2;5.2;137;;;;;
FORD;FOCUS BREAK 1.8TDdi;MFD5174SM020;DNWBHDA15HDDMU;GO;5;55.0;M 5;6.8;4.2;5.2;137;;;;;
FORD;FOCUS BREAK 1.8TDdi;MFD5174SN021;DNWBHDA15HDDMV;GO;5;55.0;M 5;6.8;4.2;5.2;137;;;;;
FORD;FOCUS COUPE 1.8TDdi;MFD5161SZ852;DBWBHDA15HDDMN;GO;5;55.0;M 5;6.8;4.2;5.2;137;;;;;
AUDI;A33P 1.9TDI (101ch);MAU5381G4937;8LLATDF1FM52J060R8L60T2M;GO;6;74.0;M 5;6.6;4.3;5.1;138;;;;;
AUDI;A35P 1.9TDI (101ch);MAU5382G9940;8LLATDF1FM52J060R8L60T4M;GO;6;74.0;M 5;6.6;4.3;5.1;138;;;;;
CITROEN;SAXO 3P 1.5D;MCT5001BL534;S0VJXB;GO;4;42.0;M 5;6.8;4.3;5.2;138;;;;;
CITROEN;SAXO 5P 1.5D;MCT5002BP535;S1VJXB;GO;4;42.0;M 5;6.8;4.3;5.2;138;;;;;
CITROEN;XSARA 3P 2.0HDi;MCT5301GP636;N0RHZB;GO;6;80.0;M 5;7.0;4.2;5.2;138;;;;;
CITROEN;XSARA 5P 2.0HDi;MCT5302GT638;N1RHZB;GO;6;80.0;M 5;7.0;4.2;5.2;138;;;;;
PEUGEOT;1063P 1.5D;MPE5001BR662;1CVJXF;GO;4;42.0;M 5;6.8;4.3;5.2;138;;;;;
PEUGEOT;1065P 1.5D;MPE5002BU663;1AVJXF;GO;4;42.0;M 5;6.8;4.3;5.2;138;;;;;
PEUGEOT;3073P 2.0HDi;MPE5201MS729;3ARHYB;GO;5;66.0;M 5;6.9;4.3;5.2;138;;;;;
PEUGEOT;3073P 2.0HDi FAP;MPE5301M8771;3ARHSB;GO;6;79.0;M 5;7.0;4.2;5.2;138;;;;;
PEUGEOT;3075P 2.0HDi;MPE5202MV730;3CRHYB;GO;5;66.0;M 5;6.9;4.3;5.2;138;;;;;
PEUGEOT;3075P 2.0HDi FAP;MPE5302MB772;3CRHSB;GO;6;79.0;M 5;7.0;4.2;5.2;138;;;;;
SEAT;CORDOBA SDI;MSE5012B6086;6KSTAQMX01SGFM52K0434L;GO;4;50.0;M 5;6.8;4.1;5.1;138;;;;;
SEAT;CORDOBA VARIO TDI (110ch);MSE5414HS058;6KSEASVX01SGFM52J0214M;GO;6;81.0;M 5;6.6;4.2;5.1;138;;;;;
SEAT;IBIZA 3P 1.9SDI;MSE5011GL026;6KSCAQMX01SGFM52K0432L;GO;4;50.0;M 5;6.8;4.1;5.1;138;;;;;
SEAT;IBIZA 5P 1.9SDI;MSE5012GP027;6KSCAQMX01SGFM52K0434L;GO;4;50.0;M 5;6.8;4.1;5.1;138;;;;;
VOLKSWAGEN;BORA TDI (100ch);MVW53D2SK360;1JSTATDX01SGFM52J060M41N10GE;GO;6;74.0;M 5;6.6;4.3;5.1;138;;;;;
VOLKSWAGEN;BORA TDI (115ch);MVW54D2SA252;1JSTAJMX01SGFM62M001M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;BORA TDI (115ch);MVW54G2SE023;1JSTAJMX01SGFM62M005M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;BORA TDI (115ch);MVW54D2SY398;1JSTAUYX01SGFM62M001M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;BORA TDI (115ch);MVW54G2SG061;1JSTAUYX01SGFM62M005M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF SDI;MVW50C1KG758;1JSCAQMX01SGFM52K036L21N10GE;GO;4;50.0;M 5;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF SDI;MVW50C2KJ759;1JSCAQMX01SGFM52K036L41N10GE;GO;4;50.0;M 5;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (100ch);MVW53C1KZ932;1JSCATDX01SGFM52J060M21N10GE;GO;6;74.0;M 5;6.6;4.3;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (100ch);MVW53C2K3934;1JSCATDX01SGFM52J060M41N10GE;GO;6;74.0;M 5;6.6;4.3;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54C1KL723;1JSCAJMX01SGFM62M001M21N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54C2KP725;1JSCAJMX01SGFM62M001M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54F1KW792;1JSCAJMX01SGFM62M005M21N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54F2K0794;1JSCAJMX01SGFM62M005M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54D1KJ005;1JSCAUYX01SGFM62M001M21N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54D2KN007;1JSCAUYX01SGFM62M001M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54F1KW864;1JSCAUYX01SGFM62M005M21N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
VOLKSWAGEN;GOLF TDI (115ch);MVW54F2K0866;1JSCAUYX01SGFM62M005M41N10GE;GO;6;85.0;M 6;6.9;4.2;5.1;138;;;;;
MERCEDES-BENZ;A 170 CDI;MMB52C2PZ796;168M209F2HCAAAA0;GO;6;70.0;M 5;6.8;4.4;5.2;139;;;;;
MERCEDES-BENZ;A 170 CDI;MMB52C2P0797;168M209F2HCAABA0;GO;6;70.0;M 5;6.8;4.4;5.2;139;;;;;
MERCEDES-BENZ;A 170 CDI FAMILY;MMB52C2PD810;168M709F2HCAAAA0;GO;6;70.0;M 5;6.8;4.4;5.2;139;;;;;
